,1a. open (SAR),1b. open (USD),2a. high (SAR),2b. high (USD),3a. low (SAR),3b. low (USD),4a. close (SAR),4b. close (USD),5. volume,6. market cap (USD)
2021-01-30,128437.24851200,34246.28000000,131012.72320000,34933.00000000,123106.88000000,32825.00000000,128333.21241600,34218.54000000,43072.12268000,43072.12268000
2021-01-29,125144.02227200,33368.18000000,144510.03776000,38531.90000000,119695.51616000,31915.40000000,128459.45088000,34252.20000000,231827.00562600,231827.00562600
2021-01-28,113870.35737600,30362.19000000,126703.43859200,33783.98000000,111919.81184000,29842.10000000,125131.57094400,33364.86000000,92621.14561700,92621.14561700
2021-01-27,121753.02310400,32464.01000000,122102.86041600,32557.29000000,109668.14668800,29241.72000000,113885.20896000,30366.15000000,95911.96171100,95911.96171100
2021-01-26,120966.11417600,32254.19000000,123470.21875200,32921.88000000,115652.47244800,30837.37000000,121767.12460800,32467.77000000,84972.20691000,84972.20691000
2021-01-25,120985.84128000,32259.45000000,130795.20000000,34875.00000000,119675.26400000,31910.00000000,120966.15168000,32254.20000000,88499.22692100,88499.22692100
2021-01-24,120305.33120000,32078.00000000,124029.47840000,33071.00000000,115887.36000000,30900.00000000,120987.52896000,32259.90000000,57978.03796600,57978.03796600
2021-01-23,123575.68000000,32950.00000000,125473.38240000,33456.00000000,117725.65606400,31390.16000000,120305.33120000,32078.00000000,64595.28767500,64595.28767500
2021-01-22,115707.30329600,30851.99000000,126863.01811200,33826.53000000,108199.04000000,28850.00000000,123557.56556800,32945.17000000,142971.68404900,142971.68404900
2021-01-21,133020.04979200,35468.23000000,133514.24000000,35600.00000000,112778.27840000,30071.00000000,115700.32755200,30850.13000000,131803.18292600,131803.18292600
2021-01-20,134646.63577600,35901.94000000,136571.97862400,36415.31000000,125263.36000000,33400.00000000,133020.04979200,35468.23000000,89368.42291800,89368.42291800
2021-01-19,137348.87398400,36622.46000000,141952.64000000,37850.00000000,134429.56262400,35844.06000000,134607.44409600,35891.49000000,79611.30776900,79611.30776900
2021-01-18,134358.04249600,35824.99000000,140526.85043200,37469.83000000,130513.92000000,34800.00000000,137381.91500800,36631.27000000,70698.11875000,70698.11875000
2021-01-17,134995.57299200,35994.98000000,138211.61600000,36852.50000000,126951.04000000,33850.00000000,134371.61894400,35828.61000000,80157.72738400,80157.72738400
2021-01-16,137780.05747200,36737.43000000,142327.68000000,37950.00000000,132605.89312000,35357.80000000,134995.57299200,35994.98000000,86348.43150800,86348.43150800
2021-01-15,146810.19558400,39145.21000000,149069.99910400,39747.76000000,129043.76320000,34408.00000000,137798.02188800,36742.22000000,118300.92091600,118300.92091600
2021-01-14,140157.62355200,37371.38000000,150391.04000000,40100.00000000,137644.29299200,36701.23000000,146807.53280000,39144.50000000,102950.38942100,102950.38942100
2021-01-13,127697.93216000,34049.15000000,141952.64000000,37850.00000000,121437.95200000,32380.00000000,140157.62355200,37371.38000000,124477.91493800,124477.91493800
2021-01-12,132803.05164800,35410.37000000,137369.65120000,36628.00000000,122004.26240000,32531.00000000,127705.77049600,34051.24000000,133948.15199600,133948.15199600
2021-01-11,143077.83500800,38150.02000000,143508.08089600,38264.74000000,114087.16800000,30420.00000000,132780.92428800,35404.47000000,249131.53994300,249131.53994300
2021-01-10,150346.86028800,40088.22000000,155079.04000000,41350.00000000,131680.70694400,35111.11000000,143077.83500800,38150.02000000,118209.54450300,118209.54450300
2021-01-09,152217.33478400,40586.96000000,155191.55200000,41380.00000000,145215.48800000,38720.00000000,150346.86028800,40088.22000000,75785.97967500,75785.97967500
